,STNAME,OFFENSE,AA,AB,AW,AI,JA,JB,JW,JI,total,Unnamed: 0,IBRC_Geo_ID,Metrofips/Microfips,Description,Year,Geography,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,state
0,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1990.0,4050055.0,2987764.0,1024198.0,16224.0,21869.0,,,4025948.0,24107.0,,Alabam
1,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1991.0,4099156.0,3018779.0,1040280.0,17015.0,23082.0,,,4074144.0,25012.0,,Alabam
2,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1992.0,4154014.0,3051680.0,1060627.0,17357.0,24350.0,,,4127269.0,26745.0,,Alabam
3,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1993.0,4214202.0,3088449.0,1081479.0,18002.0,26272.0,,,4184665.0,29537.0,,Alabam
4,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1994.0,4260229.0,3114389.0,1099593.0,18566.0,27681.0,,,4227077.0,33152.0,,Alabam
5,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1995.0,4296800.0,3134093.0,1114033.0,19386.0,29288.0,,,4259532.0,37268.0,,Alabam
6,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1996.0,4331103.0,3154959.0,1125093.0,20493.0,30558.0,,,4288307.0,42796.0,,Alabam
7,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1997.0,4367935.0,3174843.0,1140120.0,21229.0,31743.0,,,4318508.0,49427.0,,Alabam
8,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1998.0,4404701.0,3198040.0,1152248.0,21783.0,32630.0,,,4347802.0,56899.0,,Alabam
9,Alabam,1107,13.0,525.0,493.0,7.0,2.0,63.0,62.0,,1165.0,1000.0,1.0,0.0,Alabama,1999.0,4430141.0,3211308.0,1162673.0,22666.0,33494.0,,,4364958.0,65183.0,,Alabam
