INDEX,STNAME,OFFENSE,AA,AB,AW,JA,JB,JW,total
0,Alabama,1107,13.0,525.0,493.0,2.0,63.0,62.0,1158.0
1,Alaska,27,,2.0,18.0,,3.0,8.0,31.0
2,Arizona,269,4.0,28.0,75.0,5.0,22.0,94.0,228.0
3,Arkansas,1553,23.0,536.0,781.0,6.0,115.0,177.0,1638.0
4,California,252,28.0,43.0,139.0,1.0,9.0,30.0,250.0
5,Colorado,564,20.0,60.0,249.0,14.0,46.0,234.0,623.0
6,Connecticut,290,,103.0,147.0,1.0,25.0,51.0,327.0
7,Delaware,262,2.0,117.0,113.0,,31.0,29.0,292.0
8,District of Columbia,18,,4.0,3.0,,6.0,,13.0
9,Federal,54,4.0,21.0,18.0,,,3.0,46.0
10,Florida,267,15.0,104.0,103.0,2.0,26.0,50.0,300.0
11,Georgia,1957,36.0,918.0,739.0,2.0,185.0,192.0,2072.0
12,Guam,9,2.0,,,7.0,1.0,,10.0
13,Hawaii,43,15.0,8.0,19.0,10.0,1.0,13.0,66.0
14,Idaho,798,31.0,86.0,395.0,6.0,17.0,169.0,704.0
15,Illinois,1103,26.0,453.0,552.0,8.0,70.0,145.0,1254.0
16,Indiana,1399,48.0,453.0,725.0,2.0,102.0,239.0,1569.0
17,Iowa,1289,46.0,373.0,731.0,13.0,93.0,259.0,1515.0
18,Kansas,1570,31.0,492.0,906.0,10.0,87.0,247.0,1773.0
19,Kentucky,1229,14.0,397.0,781.0,,47.0,91.0,1330.0
20,Louisiana,1209,21.0,471.0,443.0,3.0,171.0,158.0,1267.0
21,Maine,117,,1.0,40.0,,4.0,69.0,114.0
22,Maryland,616,25.0,202.0,214.0,2.0,60.0,67.0,570.0
23,Massachusetts,182,9.0,54.0,94.0,1.0,4.0,17.0,179.0
24,Michigan,223,1.0,65.0,85.0,,26.0,45.0,222.0
25,Minnesota,1145,44.0,351.0,570.0,9.0,53.0,202.0,1229.0
26,Mississippi,735,13.0,366.0,304.0,,63.0,50.0,796.0
27,Missouri,1928,30.0,615.0,1017.0,5.0,131.0,302.0,2100.0
28,Montana,61,1.0,,10.0,,1.0,27.0,39.0
29,Nebraska,1078,47.0,249.0,584.0,7.0,46.0,188.0,1121.0
30,Nevada,243,17.0,40.0,119.0,7.0,23.0,62.0,268.0
31,New Hampshire,689,9.0,96.0,471.0,,9.0,98.0,683.0
32,New Jersey,347,21.0,158.0,154.0,2.0,9.0,14.0,358.0
33,New Mexico,163,,8.0,73.0,,1.0,29.0,111.0
34,New York,241,7.0,96.0,136.0,1.0,4.0,13.0,257.0
35,North Carolina,3132,80.0,1284.0,1420.0,7.0,189.0,239.0,3219.0
36,Ohio,957,10.0,411.0,430.0,1.0,73.0,129.0,1054.0
37,Oklahoma,1497,49.0,374.0,889.0,5.0,68.0,195.0,1580.0
38,Oregon,350,10.0,10.0,172.0,4.0,7.0,136.0,339.0
39,Pennsylvania,1333,60.0,491.0,561.0,1.0,67.0,210.0,1390.0
40,Rhode Island,232,2.0,90.0,133.0,1.0,8.0,36.0,270.0
41,South Carolina,2795,52.0,1261.0,1091.0,7.0,295.0,289.0,2995.0
42,Tennessee,2954,59.0,994.0,1438.0,18.0,203.0,391.0,3103.0
43,Texas,4521,163.0,1439.0,2283.0,23.0,317.0,840.0,5065.0
44,Utah,1092,96.0,199.0,514.0,30.0,53.0,278.0,1170.0
45,Vermont,31,1.0,1.0,21.0,,,7.0,30.0
46,Virginia,845,15.0,378.0,401.0,1.0,48.0,82.0,925.0
47,Washington,120,4.0,9.0,46.0,1.0,4.0,43.0,107.0
48,West Virginia,781,8.0,189.0,512.0,1.0,9.0,38.0,757.0
49,Wisconsin,2495,101.0,783.0,1269.0,19.0,228.0,566.0,2966.0
50,Wyoming,373,5.0,62.0,225.0,1.0,5.0,65.0,363.0
